Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

1	51	1	1	1	1	0.027552	2.467040	0.038528	1.071072	0.071648	0.763872	12.520544
1	51	1	1	1	6	0.027200	2.634112	0.023872	1.043840	0.061856	0.773120	10.764672
1	51	1	1	1	11	0.026656	2.771648	0.023712	1.061280	0.061376	0.756896	9.023200
1	51	1	1	1	16	0.026944	2.937472	0.034720	1.032064	0.061568	0.755968	10.580320
1	51	1	1	1	21	0.027200	3.096128	0.034752	1.067744	0.060480	0.757504	9.992896
1	51	1	1	1	26	0.026912	3.256032	0.023936	1.016672	0.060064	0.783232	9.139872
1	51	1	1	1	31	0.027104	3.428032	0.035488	1.017120	0.061472	0.756512	11.478400
1	51	1	1	1	36	0.026752	3.587936	0.035392	0.988832	0.060384	0.756032	11.377504
1	51	1	1	6	1	0.027456	2.860480	0.034752	1.055456	0.061248	0.756000	9.531744
1	51	1	1	6	6	0.027296	3.047616	0.024416	1.019904	0.063168	0.754976	9.814720
1	51	1	1	6	11	0.026944	3.198176	0.024000	1.018560	0.060256	0.758624	7.753152
1	51	1	1	6	16	0.026720	3.372192	0.023872	1.022880	0.060352	0.779008	9.525472
1	51	1	1	6	21	0.027424	3.521888	0.035520	1.034080	0.060896	0.757408	9.830016
1	51	1	1	6	26	0.026848	3.678528	0.024096	1.067424	0.062848	0.758432	11.690464
1	51	1	1	6	31	0.027264	3.848480	0.034816	1.051488	0.061440	0.758272	12.171808
1	51	1	1	6	36	0.037216	4.012736	0.034592	1.031616	0.059840	0.759008	8.633632
1	51	1	1	11	1	0.026656	3.233920	0.023904	1.017024	0.061376	0.757312	9.584192
1	51	1	1	11	6	0.026848	3.402272	0.025088	0.992000	0.060224	0.761952	7.986464
1	51	1	1	11	11	0.026816	3.552832	0.024864	1.022048	0.061536	0.757024	8.448064
1	51	1	1	11	16	0.026656	3.719680	0.034784	1.028288	0.060032	0.758496	10.359584
1	51	1	1	11	21	0.026720	3.884064	0.034624	1.031008	0.061504	0.768544	12.292320
1	51	1	1	11	26	0.027264	4.045600	0.024608	1.033632	0.061984	0.767520	12.468000
1	51	1	1	11	31	0.026976	4.212352	0.035520	1.054976	0.061728	0.757120	10.090560
1	51	1	1	11	36	0.026592	4.367488	0.034592	1.053504	0.061472	0.765216	11.957856
1	51	1	1	16	1	0.027168	3.597728	0.023712	1.035520	0.059840	0.760192	10.961600
1	51	1	1	16	6	0.028960	3.793024	0.025792	106.872993	0.065792	0.760608	113.507805
1	51	1	1	16	11	0.027424	3.926848	0.024448	1.046144	0.063008	0.759392	9.582688
1	51	1	1	16	16	0.028224	4.111840	0.026048	1.334080	0.073760	0.971200	9.928064
1	51	1	1	16	21	0.029088	4.260000	0.035264	1.371872	0.065600	0.760928	12.103424
1	51	1	1	16	26	0.027200	4.409632	0.024768	1.063648	0.060992	0.758848	12.284224
1	51	1	1	16	31	0.026976	4.568960	0.024640	1.057504	0.061920	0.809280	9.326592
1	51	1	1	16	36	0.027616	4.726432	0.023936	1.050400	0.061376	0.763040	8.407808
1	51	1	1	21	1	0.026560	3.938528	0.023872	1.038112	0.059968	0.760832	10.100896
1	51	1	1	21	6	0.027104	4.133152	0.045472	1.042336	0.062176	0.740384	9.709376
1	51	1	1	21	11	0.027680	4.277728	0.034688	1.091200	0.060064	0.759232	9.104992
1	51	1	1	21	16	0.026496	4.438880	0.024032	1.013120	0.060192	0.795200	10.780832
1	51	1	1	21	21	0.027072	4.604512	0.034720	1.038464	0.059168	0.759744	12.559584
1	51	1	1	21	26	0.026784	4.762752	0.023744	1.037600	0.061184	0.769888	12.257408
1	51	1	1	21	31	0.026752	4.921920	0.023872	1.064128	0.060864	0.769056	11.231520
1	51	1	1	21	36	0.027264	5.125952	0.034720	1.050592	0.061632	0.765696	12.218528
1	51	1	1	26	1	0.026720	4.314016	0.034752	1.032640	0.062272	0.760480	11.493504
