Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

2	51	1	1	1	1	0.024160	1.469344	0.042784	1.201600	0.361888	1.033536	18.413248
2	51	1	1	1	6	0.024544	1.609568	0.027040	1.375264	0.048032	1.049376	12.026560
2	51	1	1	1	11	0.023616	1.896096	0.026496	1.404928	0.054848	1.069472	13.768320
2	51	1	1	1	16	0.023072	2.205664	0.027552	1.433952	0.362560	1.027296	13.200672
2	51	1	1	1	21	0.023840	2.518240	0.028192	1.328512	0.364448	1.051136	12.495808
2	51	1	1	1	26	0.024384	2.834656	0.027296	1.310304	0.058880	1.160128	11.016544
2	51	1	1	1	31	0.024512	3.131808	0.026080	1.325344	0.406400	1.166944	15.076000
2	51	1	1	1	36	0.024576	3.197152	0.025504	1.308128	0.059584	1.238144	15.176160
2	51	1	1	6	1	0.024576	1.915200	0.025664	1.324576	0.052992	1.152832	14.557952
2	51	1	1	6	6	0.024640	2.063552	0.026784	1.302400	0.051104	1.120288	14.968128
2	51	1	1	6	11	0.024416	2.339424	0.027712	1.304064	0.050592	1.145600	14.598752
2	51	1	1	6	16	0.024640	2.654528	0.027072	1.414944	0.050592	1.151136	10.604032
2	51	1	1	6	21	0.023776	2.960800	0.026080	1.431168	0.052000	1.026944	15.875648
2	51	1	1	6	26	0.023360	3.270304	0.025408	1.423584	0.051712	1.028256	15.005376
2	51	1	1	6	31	0.023392	3.578528	0.027072	1.442016	0.052064	1.072672	13.322976
2	51	1	1	6	36	0.023168	3.649376	0.027456	1.439296	0.053056	1.031808	11.523552
2	51	1	1	11	1	0.024480	2.600640	0.026016	1.294176	0.422432	1.185792	11.159808
2	51	1	1	11	6	0.024320	2.741696	0.026176	1.327808	0.423104	1.126336	14.179392
2	51	1	1	11	11	0.024608	3.027104	0.026944	1.330496	0.403200	1.154784	12.620672
2	51	1	1	11	16	0.024640	3.340448	0.027488	1.503584	0.051424	1.030144	13.614240
2	51	1	1	11	21	0.023552	3.653472	0.026144	1.423168	0.052032	1.027584	11.536416
2	51	1	1	11	26	0.022976	3.961504	0.027616	1.334592	0.060512	1.025536	16.332607
2	51	1	1	11	31	0.023264	4.265696	0.026496	1.660448	0.059104	0.828512	16.383841
2	51	1	1	11	36	0.024704	4.338496	0.027104	1.137632	0.058944	0.828864	11.218208
2	51	1	1	16	1	0.040960	3.315072	0.026208	1.091744	0.062880	0.824576	12.421216
2	51	1	1	16	6	0.024480	3.445888	0.025312	1.101088	0.060064	0.839520	9.157824
2	51	1	1	16	11	0.024320	3.737376	0.026240	1.143168	0.061760	0.827296	12.870464
2	51	1	1	16	16	0.023520	4.054592	0.026304	1.130368	0.058528	0.827872	10.970176
2	51	1	1	16	21	0.024448	4.361856	0.026144	1.109920	0.061504	0.827296	12.103968
2	51	1	1	16	26	0.024256	4.664224	0.024896	1.118656	0.064704	0.828256	14.090496
2	51	1	1	16	31	0.024384	4.967552	0.025024	1.097600	0.059968	0.849728	10.699872
2	51	1	1	16	36	0.024320	5.036096	0.025088	1.094240	0.059520	0.837120	15.480000
2	51	1	1	21	1	0.024160	4.017056	0.026560	1.116672	0.062240	0.842656	12.151968
2	51	1	1	21	6	0.032096	4.149760	0.027200	1.136992	0.058208	0.825536	16.039295
2	51	1	1	21	11	0.024352	4.443520	0.026336	1.146496	0.057664	0.827776	11.334464
2	51	1	1	21	16	0.023776	4.753632	0.026208	1.120128	0.058112	0.825984	12.576896
2	51	1	1	21	21	0.024416	5.069472	0.026272	1.104064	0.102816	0.827328	13.896768
2	51	1	1	21	26	0.024800	5.370816	0.026368	1.109472	0.061312	0.826432	16.102528
2	51	1	1	21	31	0.024448	5.682016	0.027072	1.108256	0.061728	0.826944	12.910016
2	51	1	1	21	36	0.024448	5.742720	0.027104	1.093952	0.062880	0.828256	11.821792
2	51	1	1	26	1	0.024352	4.722144	0.025760	1.092960	0.059968	0.839872	11.755968
2	51	1	1	26	6	0.024640	4.851296	0.028864	1.128576	0.061088	0.830944	13.845568
2	51	1	1	26	11	0.031584	5.146592	0.027424	1.128832	0.061824	0.835616	15.543328
2	51	1	1	26	16	0.023424	5.458912	0.027680	1.145728	0.057888	0.831520	12.354720
2	51	1	1	26	21	0.022912	5.771904	0.025632	1.124096	0.057920	0.834112	12.918016
2	51	1	1	26	26	0.024256	6.086657	0.026272	1.093184	0.102144	0.826880	13.803264
