Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

5	51	1	1	1	1	0.027840	2.445664	0.037984	1.036576	0.071072	0.779488	6.429952
5	51	1	1	1	6	0.028096	2.617728	0.024032	1.603488	0.060608	0.766592	13.668512
5	51	1	1	1	11	0.027712	2.810272	0.023936	1.045152	0.062944	0.763648	8.629920
5	51	1	1	1	16	0.027264	2.933408	0.025376	1.074944	0.060320	0.801632	8.644000
5	51	1	1	1	21	0.027808	3.113664	0.034816	1.042400	0.061600	0.765088	10.221120
5	51	1	1	1	26	0.027296	3.257632	0.034656	1.035776	0.062144	0.767296	10.407392
5	51	1	1	1	31	0.027104	3.407776	0.023904	1.025088	0.060512	0.767360	13.304128
5	51	1	1	1	36	0.027200	3.587808	0.023872	1.039776	0.060608	0.768384	9.985696
5	51	1	1	6	1	0.027264	2.881536	0.024000	1.036896	0.059936	0.766784	10.012736
5	51	1	1	6	6	0.027552	3.030368	0.034784	1.019776	0.061568	0.777056	6.707168
5	51	1	1	6	11	0.027488	3.209600	0.034688	1.024320	0.060288	0.763424	14.073568
5	51	1	1	6	16	0.027040	3.351680	0.025280	1.028256	0.060064	0.763808	10.408288
5	51	1	1	6	21	0.027328	3.534048	0.024064	1.095744	0.061280	0.791264	8.931584
5	51	1	1	6	26	0.026720	3.691136	0.035616	1.069824	0.059968	0.767040	10.804608
5	51	1	1	6	31	0.027584	3.849600	0.034656	1.027808	0.060064	0.777280	10.168096
5	51	1	1	6	36	0.037440	4.000960	0.034688	1.088416	0.060736	0.767072	9.848448
5	51	1	1	11	1	0.027200	3.240128	0.024096	1.059360	0.062112	0.784480	9.230272
5	51	1	1	11	6	0.027328	3.381024	0.035968	1.058976	0.060640	0.766336	7.090912
5	51	1	1	11	11	0.027744	3.563584	0.024096	1.062976	0.060544	0.773728	9.844864
5	51	1	1	11	16	0.027552	3.724384	0.023776	1.080608	0.061472	0.768032	11.442592
5	51	1	1	11	21	0.027936	3.868512	0.034592	1.035360	0.061632	0.766208	10.954112
5	51	1	1	11	26	0.027328	4.046656	0.024736	1.035456	0.060992	0.780224	8.926304
5	51	1	1	11	31	0.027136	4.185152	0.024032	1.045568	0.061568	0.793184	10.722848
5	51	1	1	11	36	0.027296	4.357024	0.035968	1.056128	0.061120	0.767712	10.959968
5	51	1	1	16	1	0.027648	3.601696	0.023872	1.069440	0.060416	0.767360	10.264032
5	51	1	1	16	6	0.027200	3.767168	0.024000	1.095968	0.060000	0.768256	11.287968
5	51	1	1	16	11	0.027264	3.928192	0.024704	1.038496	0.062016	0.765888	14.933280
5	51	1	1	16	16	0.027520	4.090336	0.023968	1.039424	0.060512	0.786688	12.109472
5	51	1	1	16	21	0.027424	4.234272	0.034784	1.074080	0.062272	0.767264	11.608448
5	51	1	1	16	26	0.027968	4.408128	0.023936	1.083840	0.062976	0.810016	8.183520
5	51	1	1	16	31	0.028352	4.568320	0.035200	1.076192	0.061440	0.767040	12.889376
5	51	1	1	16	36	0.026912	4.727488	0.023840	1.035264	0.060608	0.765952	9.792352
5	51	1	1	21	1	0.027040	3.952128	0.024032	1.068256	0.060800	0.765248	11.687936
5	51	1	1	21	6	0.026944	4.118272	0.118048	1.049152	0.061280	0.745856	10.029152
5	51	1	1	21	11	0.026976	4.283296	0.025408	1.062016	0.061344	0.765376	9.596032
5	51	1	1	21	16	0.027648	4.442208	0.034912	1.067904	0.061184	0.766432	11.507360
5	51	1	1	21	21	0.027744	4.603040	0.023840	1.045440	0.062336	0.767296	11.668992
5	51	1	1	21	26	0.027456	4.752608	0.034784	1.081440	0.062176	0.767488	9.539488
5	51	1	1	21	31	0.027712	4.923360	0.024000	1.113760	0.060096	0.785312	10.875808
5	51	1	1	21	36	0.027680	5.129792	0.034816	1.090336	0.061664	0.768992	11.746112
5	51	1	1	26	1	0.027264	4.312960	0.023904	1.057504	0.061664	0.769248	9.325440
5	51	1	1	26	6	0.027168	4.479488	0.024000	1.104224	0.060768	0.765952	12.150848
5	51	1	1	26	11	0.027712	4.639872	0.034528	1.088352	0.064256	0.777440	11.166784
5	51	1	1	26	16	0.027520	4.801792	0.023936	1.037472	0.061568	0.767264	12.533344
5	51	1	1	26	21	0.027136	4.958688	0.034656	1.077376	0.060192	0.775712	11.651840
5	51	1	1	26	26	0.028352	5.112992	0.023872	1.099232	0.061760	0.774880	10.536608
5	51	1	1	26	31	0.027328	5.282592	0.034656	1.056608	0.063360	0.768704	10.309120
5	51	1	1	26	36	0.027840	5.442656	0.035488	1.079040	0.062272	0.769568	13.583488
5	51	1	1	31	1	0.027232	4.674240	0.023840	1.029664	0.060192	0.767360	13.111008
5	51	1	1	31	6	0.027424	4.839968	0.034848	1.048608	0.060160	0.768320	10.525792
5	51	1	1	31	11	0.027296	5.003328	0.034688	1.018080	0.062240	0.767936	9.999104
5	51	1	1	31	16	0.027488	5.146944	0.024064	1.064160	0.060224	0.805152	13.113952
5	51	1	1	31	21	0.027424	5.320576	0.024800	1.036288	0.060128	0.768320	11.846592
5	51	1	1	31	26	0.027360	5.481760	0.024736	1.051360	0.061504	0.769280	13.704000
5	51	1	1	31	31	0.027008	5.644576	0.034848	1.040928	0.060640	0.766368	11.226496
5	51	1	1	31	36	0.027200	5.805504	0.023936	1.096192	0.060768	0.768352	11.620000
