Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

9	51	1	1	1	1	0.027904	2.460896	0.038848	1.096352	0.066528	0.776160	12.032608
9	51	1	1	1	6	0.028256	2.615456	0.023840	1.063904	0.058816	0.770592	7.701984
9	51	1	1	1	11	0.027200	2.783648	0.023968	1.018368	0.062400	0.788832	9.876800
9	51	1	1	1	16	0.028992	2.962304	0.025952	1.349376	0.074176	0.989920	8.883648
9	51	1	1	1	21	0.027328	3.097472	0.023872	1.032064	0.060352	0.768640	8.770752
9	51	1	1	1	26	0.027520	3.257856	0.024000	1.027168	0.062368	0.781184	11.201952
9	51	1	1	1	31	0.027552	3.420128	0.034688	1.059008	0.060416	0.758592	8.486624
9	51	1	1	1	36	0.027936	3.619424	0.024000	1.073120	0.063680	0.801312	11.588928
9	51	1	1	6	1	0.027840	2.873824	0.034752	1.054080	0.060832	0.755872	8.789952
9	51	1	1	6	6	0.027808	3.047168	0.034720	1.043968	0.062176	0.766720	11.277984
9	51	1	1	6	11	0.027360	3.202368	0.034688	1.108640	0.062080	0.758656	11.407744
9	51	1	1	6	16	0.029184	3.401664	0.025984	1.351552	0.073952	1.056640	12.037024
9	51	1	1	6	21	0.027488	3.532608	0.024160	1.007488	0.062016	0.779776	11.178432
9	51	1	1	6	26	0.027840	3.681984	0.034688	1.103104	0.061664	0.761888	11.171040
9	51	1	1	6	31	0.027488	3.842816	0.023904	1.064064	0.062016	0.760256	11.264736
9	51	1	1	6	36	0.038272	4.029440	0.035168	1.028192	0.060832	0.762944	10.397344
9	51	1	1	11	1	0.027264	3.233824	0.023872	1.060096	0.061440	0.758976	8.989792
9	51	1	1	11	6	0.027168	3.408832	0.034848	0.999552	0.060384	0.778336	11.350336
9	51	1	1	11	11	0.027488	3.566496	0.024064	1.021792	0.060768	0.796224	12.002432
9	51	1	1	11	16	0.027744	3.732288	0.024032	1.088800	0.062304	0.783456	9.028896
9	51	1	1	11	21	0.027296	3.888192	0.024960	1.028192	0.060864	0.759840	10.343712
9	51	1	1	11	26	0.027456	4.050304	0.023872	1.421408	0.060416	0.774784	11.756512
9	51	1	1	11	31	0.027328	4.204864	0.024032	1.054336	0.061536	0.759584	12.170912
9	51	1	1	11	36	0.027520	4.372512	0.034912	1.057152	0.061184	0.772288	11.398176
9	51	1	1	16	1	0.028448	3.596704	0.023968	1.081696	0.060288	0.761760	10.561888
9	51	1	1	16	6	0.027936	3.757920	0.024512	1.088096	0.061696	0.759296	8.393184
9	51	1	1	16	11	0.027360	3.924288	0.023968	1.027104	0.061024	0.759488	9.090400
9	51	1	1	16	16	0.027008	4.089664	0.023360	1.025184	0.060864	0.758304	8.163392
9	51	1	1	16	21	0.027552	4.247584	0.024032	0.999936	0.060160	0.759264	12.391040
9	51	1	1	16	26	0.028096	4.411584	0.024032	1.066336	0.062560	0.774752	12.828608
9	51	1	1	16	31	0.027904	4.566144	0.024608	1.058144	0.062432	0.764064	11.468064
9	51	1	1	16	36	0.027616	4.731072	0.035424	1.019904	0.060512	0.761600	10.382464
9	51	1	1	21	1	0.027584	3.952096	0.023968	1.099232	0.061536	0.760352	8.944640
9	51	1	1	21	6	0.027616	4.119584	0.023872	1.106464	0.061504	0.773280	12.309088
9	51	1	1	21	11	0.027456	4.284800	0.034848	1.034240	0.060288	0.772544	9.278592
9	51	1	1	21	16	0.027648	4.443232	0.024192	1.076704	0.060544	0.759200	12.979968
9	51	1	1	21	21	0.028288	4.603328	0.034688	1.055328	0.063648	0.761664	11.918272
9	51	1	1	21	26	0.027936	4.764192	0.034752	1.098400	0.060064	0.762528	10.582464
9	51	1	1	21	31	0.028000	4.923424	0.034688	1.091584	0.061792	0.760416	11.405408
9	51	1	1	21	36	0.027968	5.128320	0.036000	1.090528	0.061984	0.762432	11.653120
9	51	1	1	26	1	0.027232	4.303968	0.023904	1.019776	0.061568	0.781920	10.746560
9	51	1	1	26	6	0.027712	4.482368	0.034688	1.135904	0.061504	0.761440	13.107456
9	51	1	1	26	11	0.027904	4.639072	0.034688	1.068608	0.063200	0.778784	9.865312
9	51	1	1	26	16	0.027168	4.798112	0.034720	1.075776	0.060960	0.761824	8.812800
9	51	1	1	26	21	0.027552	4.956960	0.023456	1.109376	0.061984	0.760864	11.383808
9	51	1	1	26	26	0.027296	5.121728	0.023872	1.070816	0.060640	0.757312	12.457856
9	51	1	1	26	31	0.027008	5.279360	0.023968	1.041184	0.060576	0.761024	11.775840
9	51	1	1	26	36	0.027840	5.439968	0.034848	1.079552	0.077792	0.763776	11.415872
9	51	1	1	31	1	0.027424	4.677216	0.034592	1.028704	0.060320	0.765696	10.396960
9	51	1	1	31	6	0.027424	4.840352	0.024576	1.074208	0.060896	0.762240	12.190784
9	51	1	1	31	11	0.027040	5.003808	0.024512	1.095456	0.062208	0.760544	12.797152
9	51	1	1	31	16	0.027296	5.167648	0.023744	1.002624	0.061440	0.765504	11.880736
9	51	1	1	31	21	0.027168	5.321696	0.023872	1.041536	0.060192	0.763808	13.899936
9	51	1	1	31	26	0.027200	5.485600	0.034688	1.087136	0.059968	0.767328	13.075520
9	51	1	1	31	31	0.027264	5.642368	0.023936	1.050656	0.061344	0.760672	11.768384
9	51	1	1	31	36	0.027808	5.804128	0.024096	1.058848	0.062336	0.760896	12.915616
9	51	1	1	36	1	0.027584	5.018560	0.034720	1.058144	0.062752	0.761344	12.749952
9	51	1	1	36	6	0.027776	5.185984	0.023968	1.062016	0.062688	0.759712	13.062368
9	51	1	1	36	11	0.027520	5.342144	0.023904	1.081504	0.060256	0.785024	13.893632
9	51	1	1	36	16	0.027520	5.503488	0.034720	1.107392	0.061472	0.763520	12.987040
9	51	1	1	36	21	0.027904	5.666176	0.023648	1.066784	0.062240	0.763136	11.371328
9	51	1	1	36	26	0.027520	5.826623	0.023808	1.036704	0.061632	0.761184	11.526016
9	51	1	1	36	31	0.027936	5.989600	0.034592	1.086304	0.062144	0.764384	12.772224
9	51	1	1	36	36	0.027488	6.145696	0.023936	1.055872	0.113888	0.761824	12.028096
9	51	1	6	1	1	0.028032	0.575968	0.027520	0.932576	0.074624	0.679936	11.836768
9	51	1	6	1	6	0.028032	0.598144	0.022400	0.937728	0.066432	0.531808	7.923584
9	51	1	6	1	11	0.022240	0.603520	0.021632	0.719104	0.060992	0.516640	6.552128
9	51	1	6	1	16	0.022304	0.641952	0.022432	0.719072	0.060896	0.515680	5.250144
9	51	1	6	1	21	0.021952	0.680064	0.021760	0.769376	0.060096	0.518560	7.330240
