Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

1	51	1	1	1	1	0.025376	1.471360	0.035936	1.319872	0.065664	0.826400	20.552193
1	51	1	1	1	6	0.024096	1.610688	0.025280	1.307520	0.051776	0.836448	20.878719
1	51	1	1	1	11	0.022848	1.893952	0.027584	1.417376	0.054880	0.819424	13.095200
1	51	1	1	1	16	0.022752	2.199744	0.028032	1.437856	0.058016	0.828736	12.328064
1	51	1	1	1	21	0.024096	2.513152	0.025888	1.326080	0.057792	0.829152	9.886592
1	51	1	1	1	26	0.024224	2.824128	0.027456	1.317184	0.056032	0.836800	11.768512
1	51	1	1	1	31	0.024128	3.126240	0.027744	1.333824	0.057856	0.820192	10.452768
1	51	1	1	1	36	0.022976	3.194816	0.027584	1.425248	0.057984	0.819136	14.553440
1	51	1	1	6	1	0.022816	1.922976	0.027392	1.384928	0.057312	0.822848	8.811776
1	51	1	1	6	6	0.032288	2.062400	0.026048	1.310624	0.056192	0.830976	13.283968
1	51	1	1	6	11	0.023936	2.347136	0.027360	1.330560	0.059872	0.826144	12.904288
1	51	1	1	6	16	0.024416	2.662976	0.027712	1.327200	0.058880	0.820096	13.910272
1	51	1	1	6	21	0.024096	2.961248	0.026816	1.442656	0.100800	0.820384	11.615456
1	51	1	1	6	26	0.023168	3.266976	0.026496	1.442336	0.058592	0.821440	11.553696
1	51	1	1	6	31	0.024128	3.572064	0.025888	1.329248	0.058400	0.820032	13.566816
1	51	1	1	6	36	0.024288	3.655360	0.025600	1.329280	0.096736	0.832032	10.028928
1	51	1	1	11	1	0.024320	2.604128	0.027936	1.315232	0.059328	0.819424	11.058560
1	51	1	1	11	6	0.023072	2.743424	0.027552	1.427520	0.058528	0.822016	12.847456
1	51	1	1	11	11	0.024064	3.031808	0.027872	1.306912	0.099168	0.821376	10.170464
1	51	1	1	11	16	0.024032	3.344192	0.026048	1.317536	0.057312	0.831808	12.186080
1	51	1	1	11	21	0.024288	3.649664	0.029312	1.327232	0.057440	0.830048	13.244352
1	51	1	1	11	26	0.024288	3.953888	0.026304	1.317184	0.098816	0.830624	11.410720
1	51	1	1	11	31	0.023040	4.261856	0.027680	1.387360	0.056800	0.830048	15.796768
1	51	1	1	11	36	0.023136	4.333824	0.026912	1.420128	0.058272	0.831136	11.744768
1	51	1	1	16	1	0.024064	3.445312	0.027008	1.302784	0.099264	0.821824	12.801952
1	51	1	1	16	6	0.024256	3.450048	0.025600	1.315584	0.057600	0.832224	9.871584
1	51	1	1	16	11	0.023904	3.731296	0.026784	1.322752	0.058816	0.831040	11.078528
1	51	1	1	16	16	0.022912	4.053504	0.026784	1.391200	0.058144	0.819968	11.435392
1	51	1	1	16	21	0.024224	4.354208	0.025952	1.300128	0.057856	0.820896	11.812672
1	51	1	1	16	26	0.024544	4.669760	0.025856	1.322400	0.055456	0.859200	10.890496
1	51	1	1	16	31	0.024608	4.965664	0.024672	1.302112	0.055360	0.847360	12.357376
1	51	1	1	16	36	0.023424	5.029952	0.025536	1.393152	0.057824	0.825792	14.242016
1	51	1	1	21	1	0.022976	4.024832	0.027008	1.441856	0.057952	0.821344	11.703328
1	51	1	1	21	6	0.032480	4.155616	0.026688	1.315136	0.058752	0.823936	11.523200
1	51	1	1	21	11	0.024000	4.442336	0.027712	1.302048	0.055392	1.020032	11.448928
