Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

8	51	1	1	1	1	0.027840	2.444832	0.039520	1.040896	0.064928	0.769952	12.392768
8	51	1	1	1	6	0.027200	2.617088	0.024000	1.048896	0.057504	0.761344	10.309216
8	51	1	1	1	11	0.027232	2.786272	0.025216	1.036544	0.060608	0.770912	8.114144
8	51	1	1	1	16	0.028096	2.955520	0.023936	1.064480	0.061728	0.772512	9.349920
8	51	1	1	1	21	0.027680	3.120096	0.024032	1.041888	0.061760	0.783488	10.287968
8	51	1	1	1	26	0.027200	3.252352	0.023968	1.045536	0.061824	0.799008	11.853504
8	51	1	1	1	31	0.027552	3.415264	0.024160	1.078176	0.060192	0.774272	11.185472
8	51	1	1	1	36	0.027712	3.591840	0.024864	1.030464	0.060416	0.812064	10.555424
8	51	1	1	6	1	0.027360	2.869184	0.034880	1.035424	0.059552	0.764096	6.538272
8	51	1	1	6	6	0.027648	3.052448	0.024160	1.047872	0.061184	0.764000	9.112800
8	51	1	1	6	11	0.027008	3.209024	0.034752	1.062144	0.060640	0.762400	8.475104
8	51	1	1	6	16	0.027008	3.358048	0.024000	0.999680	0.059904	0.794368	9.562368
8	51	1	1	6	21	0.028224	3.528224	0.024192	1.055136	0.061664	0.765120	11.160064
8	51	1	1	6	26	0.027264	3.694912	0.035968	1.038016	0.060928	0.763520	9.046464
8	51	1	1	6	31	0.027104	3.852864	0.034688	1.036608	0.060384	0.767424	13.843392
8	51	1	1	6	36	0.038016	4.016224	0.034752	1.036160	0.060224	0.789216	7.730496
8	51	1	1	11	1	0.027712	3.235904	0.024096	1.041824	0.061920	0.765472	11.189216
8	51	1	1	11	6	0.027680	3.408576	0.034752	1.070592	0.061568	0.765120	10.392896
8	51	1	1	11	11	0.027360	3.565888	0.035360	1.045632	0.060256	0.764032	10.304160
8	51	1	1	11	16	0.027680	3.728960	0.024000	1.065312	0.062848	0.766784	11.451808
8	51	1	1	11	21	0.027232	3.888544	0.034720	1.026624	0.060640	0.763424	9.741408
8	51	1	1	11	26	0.027520	4.047776	0.035904	1.076160	0.060800	0.764736	11.387488
8	51	1	1	11	31	0.027840	4.201024	0.025248	1.045376	0.062176	0.764480	10.634848
8	51	1	1	11	36	0.027360	4.368000	0.023968	1.048224	0.060160	0.786080	11.895520
8	51	1	1	16	1	0.027328	3.600192	0.023904	1.030080	0.061920	0.766976	8.724544
8	51	1	1	16	6	0.027680	3.768192	0.024000	1.047872	0.060384	0.771200	9.675520
8	51	1	1	16	11	0.027840	3.925760	0.024736	1.087008	0.062880	0.791968	12.334272
8	51	1	1	16	16	0.027552	4.090336	0.024032	1.035776	0.060896	0.764576	12.007744
8	51	1	1	16	21	0.027104	4.248864	0.024000	1.015392	0.060608	0.764032	8.951040
8	51	1	1	16	26	0.027616	4.410848	0.023840	1.040160	0.062528	0.765568	9.574048
8	51	1	1	16	31	0.027584	4.572800	0.026240	1.049984	0.061440	0.745216	10.511296
8	51	1	1	16	36	0.027552	4.734304	0.034752	1.074944	0.060672	0.783136	9.383744
8	51	1	1	21	1	0.027296	3.951104	0.023968	1.047968	0.060064	0.776160	7.653760
8	51	1	1	21	6	0.027264	4.121248	0.024000	1.034176	0.060960	0.785088	11.674112
8	51	1	1	21	11	0.027136	4.280640	0.034688	1.077440	0.062560	0.778208	10.557696
8	51	1	1	21	16	0.027008	4.444928	0.023936	1.034848	0.060576	0.770368	10.477664
8	51	1	1	21	21	0.027552	4.605152	0.025280	1.038368	0.061280	0.763680	10.374528
8	51	1	1	21	26	0.027680	4.763232	0.023744	1.026464	0.060352	0.784608	11.781472
8	51	1	1	21	31	0.027456	4.920992	0.023904	1.056544	0.060128	0.785376	12.159168
8	51	1	1	21	36	0.027328	5.155744	0.034848	1.016800	0.060608	0.746688	12.039872
8	51	1	1	26	1	0.027488	4.313792	0.023776	1.054560	0.061984	0.783776	11.771680
8	51	1	1	26	6	0.027200	4.481184	0.023808	1.070784	0.059712	0.781152	11.070688
8	51	1	1	26	11	0.027424	4.642624	0.034656	1.032192	0.060960	0.765920	11.393568
8	51	1	1	26	16	0.027584	4.802400	0.023936	1.023360	0.061376	0.794528	12.446816
8	51	1	1	26	21	0.027264	4.961600	0.034656	1.065472	0.060256	0.767360	8.667808
8	51	1	1	26	26	0.027328	5.122784	0.034784	1.025568	0.060032	0.773728	11.819872
8	51	1	1	26	31	0.027168	5.268128	0.034752	1.096768	0.060672	0.776032	12.952032
8	51	1	1	26	36	0.027712	5.437312	0.024672	1.049984	0.061536	0.769152	11.355616
8	51	1	1	31	1	0.027264	4.684608	0.055936	1.047264	0.060064	0.755296	9.862624
8	51	1	1	31	6	0.027200	4.845633	0.034688	1.067264	0.060416	0.766208	11.679168
8	51	1	1	31	11	0.027744	5.002048	0.034720	1.060672	0.062368	0.767520	11.670368
8	51	1	1	31	16	0.026976	5.163168	0.023968	1.086496	0.060448	0.770528	11.153440
8	51	1	1	31	21	0.028128	5.324000	0.024672	1.047136	0.061728	0.765568	12.333600
8	51	1	1	31	26	0.027456	5.484479	0.024896	1.020992	0.062944	0.768128	11.109024
8	51	1	1	31	31	0.027328	5.642816	0.024672	1.084928	0.060544	0.765504	13.860384
8	51	1	1	31	36	0.027616	5.808000	0.034624	1.062560	0.060448	0.767008	13.473440
8	51	1	1	36	1	0.027104	5.015360	0.024096	1.070880	0.060224	0.763616	13.349312
8	51	1	1	36	6	0.027808	5.184192	0.024672	1.110016	0.062560	0.778240	13.804448
8	51	1	1	36	11	0.027008	5.340768	0.024096	1.087680	0.062656	0.768288	13.792928
8	51	1	1	36	16	0.027168	5.499616	0.035968	1.076864	0.060256	0.768672	13.707680
8	51	1	1	36	21	0.027360	5.666368	0.034688	1.021152	0.060736	0.766496	13.848576
8	51	1	1	36	26	0.027552	5.825888	0.035264	1.066944	0.062848	0.766752	11.616672
8	51	1	1	36	31	0.027488	5.985888	0.024480	1.045024	0.061280	0.764832	12.748800
8	51	1	1	36	36	0.027776	6.147936	0.024096	1.069600	0.103392	0.802272	11.839264
8	51	1	6	1	1	0.027520	0.554336	0.049184	0.925664	0.072384	0.669216	7.701280
8	51	1	6	1	6	0.027616	0.595328	0.024032	0.930016	0.072832	0.799648	5.674784
8	51	1	6	1	11	0.021888	0.605120	0.021824	0.693696	0.059808	0.530112	6.049952
8	51	1	6	1	16	0.022208	0.644384	0.021728	0.732960	0.061792	0.518112	4.823488
8	51	1	6	1	21	0.021728	0.674528	0.022144	0.759712	0.060224	0.518016	4.998144
8	51	1	6	1	26	0.021760	0.712576	0.021888	0.726560	0.061216	0.534464	3.864512
8	51	1	6	1	31	0.022112	0.773472	0.022016	0.718368	0.061216	0.538080	4.050784
8	51	1	6	1	36	0.021696	0.818016	0.023904	0.734912	0.059936	0.538560	6.192544
8	51	1	6	6	1	0.021792	0.594208	0.021952	0.754816	0.056672	0.516704	7.067808
8	51	1	6	6	6	0.021760	0.636064	0.022208	0.776864	0.060192	0.518400	6.607744
8	51	1	6	6	11	0.022112	0.680896	0.022368	0.724032	0.061568	0.539200	3.883968
8	51	1	6	6	16	0.022464	0.709856	0.022688	0.720224	0.062144	0.546432	6.877632
8	51	1	6	6	21	0.021792	0.743552	0.021792	0.789536	0.060640	0.520064	4.188256
8	51	1	6	6	26	0.022240	0.782848	0.022656	0.722912	0.061216	0.533312	3.902240
8	51	1	6	6	31	0.021920	0.828832	0.021728	0.783072	0.060096	0.521184	3.254208
8	51	1	6	6	36	0.022496	0.863712	0.022144	0.704544	0.056640	0.518688	7.432768
8	51	1	6	11	1	0.021824	0.655072	0.022208	0.728000	0.061056	0.519264	4.629472
8	51	1	6	11	6	0.021984	0.695648	0.022080	0.731392	0.061664	0.520160	5.551584
