Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

8	51	1	1	1	1	0.025472	1.475904	0.035008	1.318080	0.065536	1.020640	14.833472
8	51	1	1	1	6	0.024128	1.598752	0.027552	1.315168	0.051168	1.013248	11.470048
8	51	1	1	1	11	0.023552	1.897664	0.027168	1.431232	0.053632	1.061056	13.931456
8	51	1	1	1	16	0.022976	2.201184	0.026720	1.430784	0.052192	1.009600	13.826688
8	51	1	1	1	21	0.023168	2.529856	0.026912	1.411200	0.052960	1.041344	16.956097
8	51	1	1	1	26	0.023360	2.821888	0.027584	1.432256	0.052256	1.038816	14.360096
8	51	1	1	1	31	0.022912	3.126496	0.027584	1.421088	0.051648	1.042976	12.998720
8	51	1	1	1	36	0.024032	3.199072	0.025888	1.310848	0.050272	1.042624	13.442240
8	51	1	1	6	1	0.024288	1.913920	0.024448	1.319584	0.052480	1.152384	12.653888
8	51	1	1	6	6	0.024288	2.057920	0.025312	1.299776	0.050368	1.117888	10.789856
8	51	1	1	6	11	0.024064	2.345760	0.026688	1.500384	0.051904	1.038368	16.279903
8	51	1	1	6	16	0.024096	2.656640	0.067712	1.317728	0.050944	1.136448	14.076352
8	51	1	1	6	21	0.024416	2.962464	0.025344	2.347200	0.055424	1.115776	13.378336
8	51	1	1	6	26	0.023072	3.272288	0.029344	1.444224	0.051616	1.011520	13.847968
8	51	1	1	6	31	0.023232	3.568608	0.027296	1.407040	0.052128	1.020640	13.596928
8	51	1	1	6	36	0.023072	3.644288	0.026784	1.408320	0.052960	1.038400	13.786080
8	51	1	1	11	1	0.024352	2.603648	0.027072	1.327072	0.053760	1.034240	12.608608
8	51	1	1	11	6	0.023904	2.740384	0.067264	1.325024	0.051872	1.114944	11.099936
8	51	1	1	11	11	0.024160	3.028064	0.025856	1.287712	0.050464	1.137536	12.700864
8	51	1	1	11	16	0.024224	3.342336	0.026464	1.392544	0.050912	1.037888	16.394112
8	51	1	1	11	21	0.023840	3.646976	0.025440	1.321440	0.051552	1.114336	17.518305
8	51	1	1	11	26	0.023904	3.952736	0.026432	1.329984	0.051552	1.145728	15.033216
8	51	1	1	11	31	0.024128	4.259296	0.024864	1.300064	0.057728	1.117920	13.558272
8	51	1	1	11	36	0.023904	4.330080	0.025728	1.344896	0.052192	1.130080	13.909152
8	51	1	1	16	1	0.023904	3.306560	0.026944	1.356544	0.053952	1.155264	11.166016
8	51	1	1	16	6	0.022816	3.444352	0.026208	1.499904	0.051520	1.036000	14.746240
8	51	1	1	16	11	0.022784	3.736576	0.028640	1.426848	0.051328	1.023712	14.200896
8	51	1	1	16	16	0.022624	4.056608	0.025920	1.445760	0.051296	1.016192	14.639008
8	51	1	1	16	21	0.023616	4.363680	0.026464	1.409056	0.051968	1.025408	12.114976
8	51	1	1	16	26	0.024288	4.665888	0.026304	1.289472	0.053408	1.023552	13.512640
8	51	1	1	16	31	0.023968	4.969824	0.026400	1.299616	0.051008	1.092896	15.176960
8	51	1	1	16	36	0.023936	5.035168	0.025888	1.308288	0.051296	1.083232	14.422080
8	51	1	1	21	1	0.024416	4.012608	0.026432	1.311328	0.052864	1.179584	14.683520
8	51	1	1	21	6	0.024032	4.157536	0.024032	1.324768	0.051136	1.118528	14.836928
8	51	1	1	21	11	0.023936	4.443520	0.024960	1.308256	0.051776	1.160768	11.201568
8	51	1	1	21	16	0.024096	4.753728	0.025856	1.361600	0.094144	1.153632	16.147776
8	51	1	1	21	21	0.024064	5.062880	0.024320	1.306400	0.051872	1.152768	16.103071
8	51	1	1	21	26	0.023968	5.371232	0.025088	1.304416	0.051680	1.134496	14.714336
8	51	1	1	21	31	0.024000	5.674656	0.025440	1.343136	0.051680	1.125088	16.622112
8	51	1	1	21	36	0.024224	5.742336	0.024352	1.306400	0.053120	1.275200	19.393087
8	51	1	1	26	1	0.024128	4.718048	0.026240	1.337024	0.050752	1.039232	14.561120
8	51	1	1	26	6	0.024128	4.864928	0.026432	1.328032	0.051168	1.040096	15.575904
8	51	1	1	26	11	0.024320	5.145760	0.027424	1.304128	0.051232	1.039168	16.441088
8	51	1	1	26	16	0.023808	5.460544	0.026752	1.291072	0.050720	1.013376	18.063744
8	51	1	1	26	21	0.022912	5.766912	0.027488	1.442272	0.052064	1.037728	15.790272
8	51	1	1	26	26	0.023008	6.078368	0.026656	1.442848	0.053504	1.123136	16.771999
8	51	1	1	26	31	0.022944	6.371584	0.025504	1.404352	0.052896	1.112640	18.782175
8	51	1	1	26	36	0.023872	6.444224	0.024640	1.342592	0.051744	1.149344	16.719776
8	51	1	1	31	1	0.024160	5.426432	0.024608	1.298016	0.051552	1.160672	12.961824
8	51	1	1	31	6	0.041312	5.556896	0.025248	1.379040	0.053600	1.153408	14.509024
8	51	1	1	31	11	0.024256	5.844672	0.024032	1.412960	0.054272	1.123392	14.594560
8	51	1	1	31	16	0.024192	6.156768	0.026656	1.399680	0.060384	1.121472	18.367231
8	51	1	1	31	21	0.024128	6.466624	0.025856	1.328608	0.051904	1.190112	13.395200
8	51	1	1	31	26	0.024064	6.775167	0.025152	1.360832	0.054528	1.242720	18.654049
8	51	1	1	31	31	0.024064	7.077344	0.026400	1.329600	0.051712	1.033760	16.001057
8	51	1	1	31	36	0.024384	7.154240	0.026304	1.307008	0.053024	1.042944	17.151039
8	51	1	1	36	1	0.024032	5.579424	0.027424	1.323392	0.052256	1.016544	15.629920
8	51	1	1	36	6	0.024352	8.455040	0.029760	1.309504	0.071360	1.063200	114.194016
8	51	1	1	36	11	0.024160	5.995968	0.024288	1.100064	0.058688	0.989280	16.344255
8	51	1	1	36	16	0.026944	6.347328	0.024864	1.436768	0.066336	0.849184	15.097632
8	51	1	1	36	21	0.027072	6.642400	0.025312	1.490688	0.068064	0.869216	14.827648
8	51	1	1	36	26	0.024256	6.967072	0.028544	1.094464	0.070688	1.062112	13.392640
8	51	1	1	36	31	0.024128	7.235104	0.023808	1.170880	0.058880	0.846848	14.793664
8	51	1	1	36	36	0.024352	7.304672	0.023872	1.090752	0.058400	0.829536	12.997152
8	51	1	6	1	1	0.037344	0.411040	0.034784	1.013472	0.075040	0.753344	10.166368
8	51	1	6	1	6	0.036512	0.452320	0.023872	0.997280	0.062176	0.566112	5.453248
8	51	1	6	1	11	0.021920	0.477504	0.023712	0.775616	0.058176	0.577920	5.644992
8	51	1	6	1	16	0.021600	0.551584	0.023456	0.777472	0.061248	0.579296	8.070624
