Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

9	51	1	1	1	1	0.025312	1.473440	0.036320	1.049504	0.057856	1.029504	13.805280
9	51	1	1	1	6	0.024128	1.651072	0.027104	1.369024	0.050976	1.032928	9.437728
9	51	1	1	1	11	0.024288	1.893344	0.027264	1.304032	0.058304	1.018496	9.599296
9	51	1	1	1	16	0.024416	2.212640	0.025888	1.308768	0.057472	1.130944	10.772128
9	51	1	1	1	21	0.024064	2.524192	0.027104	1.421504	0.059680	1.045504	12.422400
9	51	1	1	1	26	0.023264	2.822784	0.026592	1.421760	0.052256	1.065376	12.021248
9	51	1	1	1	31	0.024608	3.128000	0.026752	1.301120	0.057120	1.049216	11.638944
9	51	1	1	1	36	0.024608	3.204288	0.026752	1.310720	0.060512	1.152832	11.034688
9	51	1	1	6	1	0.024192	1.921152	0.026464	1.290560	0.057184	1.048832	17.237247
9	51	1	1	6	6	0.024384	2.064704	0.026912	1.301632	0.057376	1.155584	9.849536
9	51	1	1	6	11	0.022976	2.338048	0.069088	1.429824	0.056224	1.045632	15.071072
9	51	1	1	6	16	0.023488	2.643936	0.025568	1.513984	0.051264	1.046496	12.959904
9	51	1	1	6	21	0.023104	2.965216	0.026368	1.445920	0.361344	1.025632	13.218976
9	51	1	1	6	26	0.024256	3.265792	0.026688	1.328256	0.058240	1.022400	15.345408
9	51	1	1	6	31	0.024320	3.573760	0.026976	1.322720	0.367296	1.054112	14.475360
9	51	1	1	6	36	0.024448	3.649408	0.027488	1.336896	0.057792	1.045024	15.811904
9	51	1	1	11	1	0.023968	2.599904	0.025760	1.331712	0.366368	1.040800	9.977056
9	51	1	1	11	6	0.024320	2.743808	0.026336	1.282880	0.413184	1.159168	13.302944
9	51	1	1	11	11	0.024160	3.036224	0.026496	1.327520	0.058336	1.135264	13.561088
9	51	1	1	11	16	0.024352	3.340512	0.026912	1.318208	0.050752	1.122848	15.097664
9	51	1	1	11	21	0.024288	3.653024	0.026464	1.406720	0.050272	1.143200	15.771424
9	51	1	1	11	26	0.024064	3.962624	0.026432	1.300672	0.060096	1.162528	16.608480
9	51	1	1	11	31	0.024320	4.263616	0.025216	1.313184	0.057184	1.153600	12.583808
9	51	1	1	11	36	0.023968	4.331712	0.026592	1.379424	0.053888	1.151264	15.421440
9	51	1	1	16	1	0.024224	3.310848	0.026912	1.403840	0.050656	1.126048	13.626272
9	51	1	1	16	6	0.023008	3.877600	0.028800	1.426368	0.058112	0.837184	10.999584
9	51	1	1	16	11	0.024224	3.736928	0.025920	1.088160	0.060896	0.825568	11.906368
9	51	1	1	16	16	0.024608	4.089984	0.024800	1.101920	0.060448	0.843456	9.773984
9	51	1	1	16	21	0.024096	4.361536	0.024640	1.087808	0.059200	0.836320	14.008928
9	51	1	1	16	26	0.024672	4.664736	0.026080	1.137344	0.060928	0.839040	11.634880
9	51	1	1	16	31	0.023136	4.971008	0.026272	1.137152	0.058528	0.821856	16.567039
