Tesla C2050
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

0	51	1	1	1	1	0.027680	2.450656	0.049152	1.032672	0.070080	0.761984	10.618272
0	51	1	1	1	6	0.027712	2.612704	0.025568	1.043680	0.060224	0.768128	8.947456
0	51	1	1	1	11	0.027904	2.775424	0.034784	1.028416	0.061792	0.757184	10.533408
0	51	1	1	1	16	0.027584	2.954944	0.024480	1.046112	0.061664	0.756672	6.666048
0	51	1	1	1	21	0.027360	3.107712	0.023904	1.031008	0.060832	0.771072	10.439712
0	51	1	1	1	26	0.028128	3.269440	0.023968	1.075040	0.059840	0.760480	8.555168
0	51	1	1	1	31	0.028064	3.441824	0.034848	1.041280	0.062944	0.756864	10.579008
0	51	1	1	1	36	0.027168	3.575104	0.023808	1.076128	0.060576	0.757152	10.449984
0	51	1	1	6	1	0.027808	2.871616	0.034976	1.039008	0.061312	0.770272	11.392768
0	51	1	1	6	6	0.027520	3.043648	0.034688	1.034368	0.062624	0.762944	11.493056
0	51	1	1	6	11	0.027200	3.206944	0.023936	1.032960	0.061216	0.758688	9.161824
0	51	1	1	6	16	0.027040	3.372992	0.035424	1.023424	0.060544	0.759904	10.076576
0	51	1	1	6	21	0.027776	3.525472	0.034688	1.010368	0.059808	0.760192	9.748384
0	51	1	1	6	26	0.027552	3.670368	0.025248	0.995840	0.060864	0.770432	11.200672
0	51	1	1	6	31	0.027200	3.861536	0.023872	1.040832	0.060544	0.799808	11.144256
0	51	1	1	6	36	0.037248	4.018400	0.023840	1.014816	0.060224	0.760096	13.651712
0	51	1	1	11	1	0.027744	3.237376	0.024000	1.056544	0.061728	0.763296	9.258432
0	51	1	1	11	6	0.027680	3.406048	0.023936	1.041440	0.061184	0.758624	11.826848
0	51	1	1	11	11	0.027104	3.566592	0.034656	1.067168	0.060768	0.759424	11.120192
0	51	1	1	11	16	0.027968	3.728672	0.024896	1.051360	0.061536	0.761920	7.438976
0	51	1	1	11	21	0.027936	3.889312	0.023968	1.050240	0.062560	0.738336	11.956640
0	51	1	1	11	26	0.027296	4.047776	0.024864	1.057440	0.060864	0.761248	9.889280
0	51	1	1	11	31	0.027648	4.209312	0.024032	1.075648	0.062176	0.780896	10.411488
0	51	1	1	11	36	0.027808	4.350944	0.034720	1.029856	0.062912	0.760032	9.215584
0	51	1	1	16	1	0.027392	3.599584	0.034848	1.068800	0.060736	0.757408	8.503552
0	51	1	1	16	6	0.027232	3.768032	0.034720	1.050656	0.060096	0.761824	11.026944
0	51	1	1	16	11	0.027104	3.924992	0.024032	1.033248	0.061152	0.796736	11.954624
0	51	1	1	16	16	0.027968	4.091104	0.034816	1.035552	0.061888	0.759648	10.284096
0	51	1	1	16	21	0.027712	4.249728	0.024800	1.030912	0.060448	0.771040	7.923680
0	51	1	1	16	26	0.027584	4.412192	0.035936	1.061504	0.060384	0.759360	8.104448
0	51	1	1	16	31	0.027712	4.573312	0.024544	1.021984	0.060960	0.772032	10.634304
0	51	1	1	16	36	0.028096	4.727072	0.034656	1.073344	0.061632	0.770464	12.863744
0	51	1	1	21	1	0.027424	3.953792	0.034592	1.026112	0.059744	0.774208	7.973600
0	51	1	1	21	6	0.027424	4.122976	0.024000	0.995584	0.061536	0.774016	10.734816
0	51	1	1	21	11	0.027264	4.284928	0.034784	1.106592	0.060608	0.760768	10.202560
0	51	1	1	21	16	0.027584	4.437760	0.025248	1.041408	0.061504	0.758752	11.085696
0	51	1	1	21	21	0.028832	4.603136	0.036032	1.061024	0.061440	0.759296	12.740576
0	51	1	1	21	26	0.028256	4.761024	0.023968	1.052640	0.064512	0.762048	8.589408
0	51	1	1	21	31	0.027520	4.924256	0.034592	1.058144	0.060384	0.760448	12.043360
0	51	1	1	21	36	0.027776	5.117408	0.034816	1.078848	0.060512	0.760192	13.399360
0	51	1	1	26	1	0.026944	4.310176	0.024064	1.049312	0.061024	0.761696	12.430272
0	51	1	1	26	6	0.027264	4.482976	0.034816	1.062336	0.060448	0.780064	9.463552
0	51	1	1	26	11	0.027360	4.644128	0.034720	1.074272	0.061184	0.760416	8.359712
0	51	1	1	26	16	0.027584	4.805632	0.034528	1.028288	0.060096	0.759456	9.843744
0	51	1	1	26	21	0.027264	4.962592	0.034784	1.030080	0.060832	0.771424	13.238656
0	51	1	1	26	26	0.027328	5.120992	0.034656	1.011104	0.060608	0.761440	12.548224
0	51	1	1	26	31	0.027104	5.271552	0.034752	1.051040	0.060416	0.760768	10.156832
0	51	1	1	26	36	0.027712	5.442816	0.024448	1.052352	0.065376	0.785632	12.241632
0	51	1	1	31	1	0.028032	4.674816	0.023840	1.062240	0.061440	0.772608	9.605760
0	51	1	1	31	6	0.027584	4.845953	0.034720	1.053280	0.062176	0.761504	10.241888
0	51	1	1	31	11	0.027040	5.000160	0.034720	1.077440	0.061568	0.760000	9.956800
0	51	1	1	31	16	0.027264	5.162208	0.023712	1.056288	0.061824	0.784992	11.609888
0	51	1	1	31	21	0.027616	5.323456	0.034848	1.041696	0.061536	0.760672	16.810465
0	51	1	1	31	26	0.027616	5.482464	0.024000	1.078112	0.062048	0.764384	9.603296
0	51	1	1	31	31	0.027328	5.643296	0.036064	1.031936	0.061248	0.760160	9.318400
0	51	1	1	31	36	0.027648	5.804320	0.034656	1.058432	0.060288	0.761952	11.450976
0	51	1	1	36	1	0.027392	5.015328	0.024640	1.030880	0.060480	0.761920	10.970240
0	51	1	1	36	6	0.027360	5.085888	0.035648	1.058048	2.896192	0.955840	112.498177
0	51	1	1	36	11	0.029312	5.374080	0.024032	1.357664	0.066112	0.762016	9.867072
0	51	1	1	36	16	0.027296	5.506592	0.023904	1.030912	0.060576	0.760672	9.170560
0	51	1	1	36	21	0.027520	5.665216	0.024576	1.088000	0.060096	0.761248	12.089600
0	51	1	1	36	26	0.027456	5.835296	0.024640	1.108480	0.062624	0.786016	12.350304
