Tesla K20c
Repeating	Image size	scale_xy	scale_eps	kernel_xy_size	kernel_eps_size	cubefilling	convolution	slicing	time to allocate	time copy memory	time to free	komplete time

3	51	1	1	1	1	0.025760	1.476032	0.037760	1.132864	0.059040	1.027744	13.772448
3	51	1	1	1	6	0.023040	1.609600	0.027168	1.462624	0.047968	1.054688	13.534112
3	51	1	1	1	11	0.023776	1.893632	0.027008	1.443456	0.047968	1.020128	11.018432
3	51	1	1	1	16	0.024384	2.209056	0.024832	1.349312	0.401056	1.242304	9.223552
3	51	1	1	1	21	0.024384	2.519072	0.026688	1.288192	0.050656	1.126976	14.548352
3	51	1	1	1	26	0.024608	2.822752	0.026720	1.356096	0.051872	1.125312	13.316064
3	51	1	1	1	31	0.024512	3.137760	0.026560	1.440448	0.058752	1.042560	14.556672
3	51	1	1	1	36	0.024416	3.200672	0.027552	1.464480	0.051968	1.042656	14.510080
3	51	1	1	6	1	0.022976	1.918784	0.028128	1.441152	0.052928	1.021824	9.795360
3	51	1	1	6	6	0.024320	2.056128	0.025312	1.321824	0.058784	1.209248	11.692704
3	51	1	1	6	11	0.024192	2.344608	0.024864	1.327072	0.395072	1.156800	13.960384
3	51	1	1	6	16	0.024480	2.662048	0.068640	1.306656	0.398272	1.143456	10.285760
3	51	1	1	6	21	0.023264	2.970688	0.027552	1.437728	0.051424	1.019616	10.868288
3	51	1	1	6	26	0.024480	3.271584	0.025600	1.289792	0.053312	1.043776	13.678912
3	51	1	1	6	31	0.024384	3.573120	0.027744	1.337408	0.362208	1.020288	12.101152
3	51	1	1	6	36	0.024640	3.647584	0.026336	1.334944	0.058400	1.125440	10.060256
3	51	1	1	11	1	0.024640	2.602240	0.026752	1.357536	0.060768	1.039296	14.031072
3	51	1	1	11	6	0.024416	2.733536	0.027616	1.414432	0.055296	1.019584	14.700768
3	51	1	1	11	11	0.023712	3.030304	0.026912	1.428224	0.053280	1.047904	14.025824
3	51	1	1	11	16	0.023808	3.343744	0.027104	1.418112	0.052320	1.032736	11.828544
3	51	1	1	11	21	0.024512	3.649600	0.027456	1.293728	0.058144	1.028608	15.442400
3	51	1	1	11	26	0.023264	3.958720	0.026912	1.317312	0.059648	1.041792	15.039328
3	51	1	1	11	31	0.023360	4.263552	0.027680	1.335936	0.058592	1.021120	14.212736
3	51	1	1	11	36	0.024544	4.330944	0.027072	1.298368	0.339232	1.053696	12.187584
3	51	1	1	16	1	0.024288	3.314464	0.024864	1.311904	0.489888	1.168032	14.437952
3	51	1	1	16	6	0.024704	3.441856	0.025664	1.305216	0.388640	1.159264	13.794560
3	51	1	1	16	11	0.024320	3.739616	0.025792	1.328512	0.437856	1.098624	15.101984
3	51	1	1	16	16	0.024512	4.051936	0.025024	1.301504	0.057792	1.148992	12.262624
3	51	1	1	16	21	0.024416	4.355744	0.029152	1.302528	0.057184	0.831296	12.655328
3	51	1	1	16	26	0.023040	4.657760	0.027488	1.121792	0.058560	0.820832	11.624576
3	51	1	1	16	31	0.023680	4.974880	0.027168	1.103168	0.058112	0.820768	12.764096
3	51	1	1	16	36	0.024256	5.034368	0.027072	1.115488	0.061280	0.819840	11.803456
3	51	1	1	21	1	0.024352	4.018560	0.024480	1.094240	0.062880	0.847008	11.714464
3	51	1	1	21	6	0.024576	4.156512	0.025888	1.108800	0.059424	0.834816	15.643232
3	51	1	1	21	11	0.032480	4.442272	0.030816	1.107232	0.058688	0.834176	14.452480
3	51	1	1	21	16	0.024608	4.756800	0.025568	1.107648	0.059840	0.834368	15.230624
3	51	1	1	21	21	0.024416	5.067392	0.025312	1.113152	0.059840	0.834816	16.030304
3	51	1	1	21	26	0.024416	5.372736	0.026048	1.107168	0.059104	0.831616	15.955232
3	51	1	1	21	31	0.024224	5.671008	0.025216	1.103232	0.059520	0.836032	14.313728
3	51	1	1	21	36	0.024512	5.744384	0.025184	1.108000	0.058944	0.830144	15.477856
3	51	1	1	26	1	0.024384	4.725952	0.023904	1.106656	0.058688	0.850400	11.936224
3	51	1	1	26	6	0.024352	4.853984	0.029152	1.097184	0.061696	0.830368	11.664896
3	51	1	1	26	11	0.022880	5.150592	0.027520	1.121888	0.059616	0.822688	13.166400
3	51	1	1	26	16	0.031616	5.461409	0.027072	1.103264	0.058304	0.822528	15.126176
3	51	1	1	26	21	0.023072	5.779712	1.710240	1.108192	0.577504	4.066304	21.044449
3	51	1	1	26	26	0.025056	6.072288	0.026304	1.140032	0.064992	0.826688	17.055391
3	51	1	1	26	31	0.024320	6.378144	0.024352	1.104192	0.101216	0.825472	13.637056
3	51	1	1	26	36	0.024512	6.445408	0.025152	0.790112	0.058784	0.824864	12.443200
3	51	1	1	31	1	0.024608	5.420480	0.026176	1.103584	0.061024	0.811744	13.694816
3	51	1	1	31	6	0.023296	5.552832	0.026560	1.123584	0.100032	0.828832	16.125664
3	51	1	1	31	11	0.023008	5.843136	0.025376	1.119968	0.058304	0.826240	17.579777
3	51	1	1	31	16	0.024320	6.160608	0.024992	1.105504	0.058272	0.824672	12.689856
3	51	1	1	31	21	0.024256	6.469856	0.024864	1.104768	0.056096	0.822304	17.125952
3	51	1	1	31	26	0.024192	6.769792	0.024224	1.115488	0.059424	0.834848	15.357344
3	51	1	1	31	31	0.024544	7.073728	0.024128	1.098144	0.060096	0.926400	13.452864
3	51	1	1	31	36	0.024480	7.146624	0.025088	1.115040	0.060960	0.824608	13.646944
3	51	1	1	36	1	0.023040	5.577184	0.026304	1.110656	0.061312	0.813152	12.406176
3	51	1	1	36	6	0.023232	5.717376	0.026240	1.116064	0.057536	0.811616	12.554592
3	51	1	1	36	11	0.024512	5.997888	0.026080	1.098016	0.060608	0.813760	15.041984
3	51	1	1	36	16	0.024256	6.313024	0.027168	1.098304	0.061056	0.812064	14.036128
3	51	1	1	36	21	0.024256	6.625856	0.026368	1.085792	0.061120	0.812896	17.157440
3	51	1	1	36	26	0.024160	6.925024	0.026240	1.096032	0.102496	0.813472	14.108000
3	51	1	1	36	31	0.024352	7.238464	0.026912	1.107424	0.061440	0.813568	14.338656
3	51	1	1	36	36	0.024416	7.308384	0.027104	1.082112	0.062592	0.812448	17.847263
3	51	1	6	1	1	0.037440	0.410464	0.038816	1.009952	0.141152	0.733440	3.810784
3	51	1	6	1	6	0.036800	0.449728	0.025792	1.006496	0.072992	0.742496	7.623328
3	51	1	6	1	11	0.022112	0.481280	0.024128	0.985888	0.060992	0.562432	3.458528
3	51	1	6	1	16	0.021792	0.551808	0.093312	0.749376	0.061152	0.563584	3.233952
3	51	1	6	1	21	0.021760	0.621312	0.024576	0.749568	0.060768	0.566432	7.725152
3	51	1	6	1	26	0.021632	0.692800	0.025696	0.750624	0.060960	0.562944	6.994272
3	51	1	6	1	31	0.022112	0.763392	0.023968	0.754176	0.061472	0.584896	5.664064
3	51	1	6	1	36	0.021824	0.782720	0.023328	0.767072	0.053824	0.562976	4.978624
3	51	1	6	6	1	0.022112	0.454720	0.023968	0.761728	0.061184	0.562912	3.422592
3	51	1	6	6	6	0.022240	0.496416	0.023840	0.748928	0.060384	0.562336	3.516384
3	51	1	6	6	11	0.021856	0.558240	0.022400	0.765504	0.056096	0.568832	6.512864
3	51	1	6	6	16	0.022176	0.630016	0.023776	0.754848	0.060832	0.585088	4.559616
3	51	1	6	6	21	0.022016	0.703040	0.025216	0.755872	0.061408	0.563776	8.013952
3	51	1	6	6	26	0.039680	0.772032	0.026048	0.766432	0.061024	0.563808	3.475104
3	51	1	6	6	31	0.021728	0.843232	0.023616	0.747744	0.060480	0.564000	3.775936
3	51	1	6	6	36	0.022080	0.864352	0.023648	0.750240	0.060832	0.574048	5.789952
3	51	1	6	11	1	0.021952	0.566560	0.022688	0.762720	0.055520	0.581952	5.908416
3	51	1	6	11	6	0.021696	0.600672	0.023680	0.749824	0.057184	0.562048	4.401984
3	51	1	6	11	11	0.021888	0.671360	0.023968	0.753888	0.061408	0.586080	3.622560
3	51	1	6	11	16	0.022592	0.733088	0.022560	0.767488	0.054720	0.582112	3.244576
3	51	1	6	11	21	0.022176	0.813728	0.023968	0.773056	0.060832	0.560416	3.489920
3	51	1	6	11	26	0.021984	0.880288	0.023840	0.758304	0.060192	0.561856	7.168896
3	51	1	6	11	31	0.021888	0.951264	0.023040	0.756832	0.056032	0.571296	3.791904
3	51	1	6	11	36	0.021696	0.983552	0.023872	0.764448	0.057408	0.563040	4.019360
3	51	1	6	16	1	0.021984	0.727680	0.023552	0.751168	0.057536	0.562464	8.104384
3	51	1	6	16	6	0.021984	0.723360	0.022528	0.772384	0.055232	0.572256	5.897024
3	51	1	6	16	11	0.021696	0.786240	0.023840	0.749216	0.060640	0.581696	6.441952
3	51	1	6	16	16	0.021888	0.861312	0.022624	0.749824	0.067264	0.568320	3.679456
3	51	1	6	16	21	0.022496	0.927168	0.022624	0.764992	0.058400	0.581792	3.677472
3	51	1	6	16	26	0.021824	1.001312	0.024160	0.749664	0.061504	0.561376	3.697344
3	51	1	6	16	31	0.021728	1.072608	0.024288	0.749408	0.060640	0.563200	4.975936
3	51	1	6	16	36	0.021920	1.080096	0.022720	0.769792	0.054656	0.570176	3.576672
3	51	1	6	21	1	0.021760	0.796896	0.023840	0.767616	0.057056	0.561696	3.561984
3	51	1	6	21	6	0.021632	0.838144	0.023776	0.748576	0.060864	0.562208	3.491808
3	51	1	6	21	11	0.021824	0.901728	0.023712	0.748992	0.060960	0.562688	4.735808
3	51	1	6	21	16	0.021760	0.969984	0.023040	0.754080	0.055104	0.570976	3.755872
3	51	1	6	21	21	0.022528	1.047328	0.023968	0.765504	0.058560	0.560224	4.977088
3	51	1	6	21	26	0.021824	1.113248	0.024544	0.772480	0.061440	0.561760	6.139456
3	51	1	6	21	31	0.022080	1.178944	0.023008	0.753600	0.057248	0.568224	8.477344
3	51	1	6	21	36	0.021664	1.206208	0.024352	0.754816	0.061536	0.563648	3.879808
